"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,participant_screening,,text,"DepGen Participant Study code",,,,,,y,,,,,,,
case_control,participant_screening,,radio,Case/Control,"1, Case | 2, Control",,,,,,,y,,,,,
cidi_feel_sad_depressed,participant_screening,,radio,"In the past 12 months, have you had a period of two weeks or longer when you felt sad or depressed or empty?","0, No | 1, Yes",,,,,,[case_control]=2,y,,,,,
cidi_how_often_feel_depressed,participant_screening,,dropdown,"Think of the two weeks during the past 12 months when this feeling was most persistent. During that two-week period, did you feel sad or depressed or empty every day, nearly every day, most days, about half the days, or less than half the days? ","1, Every day,  Nearly every day, Most days | 2, About half the days | 3, Less than half the days",,,,,,[cidi_feel_sad_depressed]=1,y,,,,,
cidi_sad_feeling_last,participant_screening,,dropdown,"And did this feeling usually last all day long, most of the day, about half the day, or less than half the day?","1, All day long | 2, Most of the day | 3, About half the day | 4, Less than half the day",,,,,,[cidi_how_often_feel_depressed]=1,y,,,,,
cidi_depressed_problems,participant_screening,,radio,"Please look at Card C. People who have periods of being sad, depressed, or empty often have other problems on this list at the same time, like changes in sleep or energy or appetite or concentration or feelings of low self-worth. During the time you were sad, depressed or empty, did you also have any of these other problems?","0, No | 1, Yes",,,,,,[cidi_sad_feeling_last]=1,y,,,,,
cidi_lost_interest,participant_screening,,radio,"In the past 12 months, have you had a period of two weeks or longer when you lost interest in most things like work, hobbies, and other things you usually enjoy?","0, No | 1, Yes",,,,,,[case_control]=2,y,,,,,
cidi_how_often_lost_interest,participant_screening,,dropdown,"Think of the two weeks when this loss of interest was most persistent. During that two-week period, did you lose interest in things every day, nearly every day, most days, about half the days, or less than half the days?","1, EVERY DAY,  NEARLY EVERY DAY, MOST DAYS | 2, ABOUT HALF THE DAYS | 3, LESS THAN HALF THE DAYS",,,,,,[cidi_lost_interest]=1,y,,,,,
cidi_lost_interest_last,participant_screening,,dropdown,"And did this feeling usually last all day long, most of the day, about half the day, or less than half the day?","1, ALL DAY LONG | 2, MOST OF THE DAY | 3, ABOUT HALF THE DAY | 4, LESS THAN HALF THE DAY",,,,,,[cidi_how_often_lost_interest]=1,y,,,,,
cidi_prob_assoc_losing_interest,participant_screening,,yesno,"Please look at Card C again. People who have periods of losing interest in most things often have other problems on this list at the same time. During the time that you lost interest in most things, did you also have any of these other problems?",,,,,,,[cidi_lost_interest]=1,y,,,,,
